ce,12.w.europe,uk,usa,china,india,japan,world.total
1,11146,320,272,26820,33750,1200,105402

1000,8366,800,520,27494,33750,3188,121208

1500,38426,2815,800,61800,60500,7700,248321

1600,56690,6007,600,96000,74250,9620,331344

1700,70702,10709,527,82800,90750,15390,371058

1820,141408,36232,12548,228600,111417,20739,693501.8
1821,,,,,,,
1822,,,,,,,
1823,,,,,,,
1824,,,,,,,
1825,,,
1826,,,
1827,,,
1828,,,
1829,,,
1830,,42228,18219
1831,,44249,
1832,,43800,
1833,,44249,
1834,,46046,
1835,,48517,
1836,,50314,
1837,,49640,
1838,,52336,
1839,,54806,
1840,,53234,27694
1841,,52111,,,,
1842,,50988,,,,
1843,,51886,,,,
1844,,55031,,,,
1845,,57951,,,,
1846,,61770,,,,
1847,,62219,,,,
1848,,62893,,,,
1849,,64016,,,,
1850,237189.6666,63342,42583,247200,125681,21732
1851,,66037,,,,
1852,,67160,,,,
1853,,69631,,,,
1854,,71428,,,,
1855,,71203,,,,
1856,,76370,,,,
1857,,77717,,,,,
1858,,77942,,,,,
1859,,79964,,,,,
1860,,81760,69346,,,,
1861,,84007,,,,,
1862,,84680,,,,,
1863,,85354,,,,,
1864,,87600,,,,,
1865,,90296,,,,,
1866,,91644,,,,,
1867,,90745,,,,,
1868,,93665,,,,,
1869,,94339,,,,,
1870,337710.325,100179.628,98374,189740,134882,25393,1109683.625
1871,343990.5816,105570.46,102862,,,25709,
1872,356714.8901,105795.078,107065,,,26005,
1873,359268.8651,108265.876,112436,,,26338
1874,377887.1932,110062.82,111735,,,26644
1875,386615.3065,112758.236,117573,,,28698
1876,380530.7656,113881.326,118974,,,28019
1877,385242.1861,115004.416,122827,,,28910
1878,390215.2126,115453.652,127964,,,28825
1879,383340.0969,115004.416,143726,,,30540
1880,399789.2374,120395.248,160656,,,31779
1881,407434.5968,124662.99,166377,,,30777
1882,421408.839,128256.878,177002,,,31584
1883,429878.0757,129155.35,181322,,,31618
1884,433294.369,129379.968,184591,,146409,31872
1885,435885.9504,128706.114,185992,,151985,33052
1886,443723.212,130727.676,191596,,148134,35395
1887,457216.1589,135893.89,200236,,155899,36982
1888,469758.9138,141958.576,199302,,158358,35310
1889,481809.5734,149595.588,211678,,155063,37016,
1890,493244.182,150269.442,214713.945,205379,163341,40555.598,
1891,495105.0354,150269.442,224026.839,,148317,38620.967,
1892,497652.5637,146675.554,245756.925,,160224,41200.475,
1893,509141.0661,146675.554,233857.116,,164280,41343.781,
1894,526944.9632,156558.746,227131.137,,166799,46287.838,
1895,540209.2968,161500.342,254552.436,,162696,46932.715,
1896,559504.5805,168238.882,249378.606,,150699,44353.207,
1897,565858.5166,170485.062,273178.224,,178236,45284.696,
1898,592644.2165,178795.928,278869.437,,178599,53883.056,
1899,615560.7415,186208.322,304221.204,,164690,49870.488,
1900,624219.742,184860.614,312499.332,218154,170466,52020.078,1971880.513
1901,623627.2072,184860.614,347681.376,,173957,53883.056,
1902,630989.986,189577.592,351303.057,,188504,51088.589,
1903,645501.0814,187556.03,368376.696,,191141,54671.239,
1904,657607.9079,188679.12,363720.249,,192060,55101.157,
1905,675664.7227,194294.57,390624.165,,188587,54169.668,
1906,697550.2428,200808.492,435636.486,,193979,61263.315,
1907,726429.4769,204626.998,442362.465,,182234,63197.946,
1908,723087.6039,196316.132,406145.655,,184844,63627.864,
1909,746002.278,200808.492,455814.423,,210241,63556.211,
1910,752720.7763,207097.796,460470.87,,210439,64559.353,
1911,787285.9097,213162.482,475474.977,,209354,68070.35,
1912,815741.9786,216307.134,497722.446,,208946,70506.552,
1913,840481.968,224618,517383,241431,204242,71653,2733189.637
1914,791530.6041,226864.18,477544.509,,215400,69503.41,
1915,806661.0468,245058.238,490996.467,,210110,75952.18,
1916,837479.1678,250449.07,558773.64,,216245,87703.272,
1917,812666.8848,252695.25,544804.299,,212341,90641.045,
1918,782317.9133,254267.576,593955.684,,185202,91572.534,
1919,723553.1004,226639.562,599129.514,,210730,100959.077,
1920,741117.6878,212937.864,593438.301,,194051,94653.613,
1921,737523.5676,195642.278,579986.343,,208785,105043.298
1922,803104.5979,205750.088,612064.089,,217594,104756.686
1923,794099.5509,212264.01,692775.837,,210511,104828.339
1924,859603.8916,221024.112,713988.54,,220763,107766.112
1925,906250.3173,231805.776,730544.796,,223375,112208.598
1926,918230.3402,223270.292,778144.032,,230410,113211.74
1927,959924.8939,241239.732,785904.777,,230426,114859.759
1928,1002662.72,244159.766,794700.288,,232745,124246.302
1929,1029947.35,251347.542,843334.29,274090,242409,128115.564
1930,1014062.826,249550.598,768313.755,277567,244097,118800.674
1931,962123.5575,236747.372,709332.093,280393,242489,119803.816
1932,931870.0715,238544.316,615685.77,289304,245209,129835.236
1933,967170.0919,245507.474,602751.195,289304,245433,142589.47
1934,1006850.228,261679.97,649315.665,264091,247712,142876.082
1935,1050586.048,271787.78,698984.433,285403,245361,146816.997
1936,1100979.264,284141.77,798321.969,303433,254896,157493.294
1937,1156685.556,294024.962,832469.247,296043,250768,165016.859,
1938,1189456.953,297618.85,799356.735,288653,251375,176051.421,
1939,1261104.089,300538.884,862994.844,,256924,203781.132,
1940,1240066.906,330637.696,929737.251,,265455,209728.331,4502584
1941,1253150.674,360736.508,1098921.492,,270531,212594.451,
1942,1244058.316,369721.228,1318809.267,,269278,211448.003,
1943,1243487.091,377807.476,1581122.448,,279898,214457.429,
1944,1189732.619,362982.688,1713572.496,,276954,205214.192,
1945,1027871.937,347034.81,1644760.557,,272503,102607.096,
1946,967156.6383,331985.404,1305357.309,,258164,111492.068,
1947,1034018.264,327043.808,1285696.755,,213680,120377.04,
1948,1110228.279,337376.236,1334330.757,,215927,138290.29,
1949,1204137.222,349954.844,1339504.587,,221631,147533.527,
1950,1286643.034,347850,1455916,244985,222222,160966,5335859.971
1951,1360880.498,358234,1566784,273733,227362,181025,5649957.384
1952,1408010.15,357585,1625245,305854,234148,202005,5911277.501
1953,1482445.551,371646,1699970,321030,248963,216889,6208987.329
1954,1563765.89,386789,1688804,331550,259262,229151,6421223.941
