GDP,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,
,UK,R.O. W. Europe ,USA,R.O. W. Offshoots ,F. USSR ,L. America,China ,India ,Japan ,R.O. Asia ,Total Africa ,World
1992,0.03392,0.19217,0.2175,0.03151,0.05787,0.08711,0.09026,0.04249,0.08802,0.12607,0.03307,1
1993,0.03395,0.1866,0.2184,0.03176,0.05103,0.08813,0.09681,0.044,0.08629,0.13039,0.03263,1
1994,0.03425,0.18484,0.21961,0.03211,0.04249,0.08961,0.10291,0.0456,0.08429,0.13205,0.03222,1
1995,0.03382,0.18198,0.21619,0.03187,0.03863,0.08728,0.11373,0.047,0.08255,0.13506,0.03187,1
1996,0.03364,0.17893,0.21699,0.0316,0.03628,0.08739,0.1123,0.04903,0.08261,0.13863,0.03259,1
1997,0.03344,0.17684,0.21819,0.03168,0.03562,0.08849,0.11375,0.04944,0.0809,0.13922,0.03244,1
1998,0.0339,0.17854,0.2238,0.03254,0.03423,0.08908,0.11222,0.0518,0.07724,0.13354,0.03311,1
1999,0.03373,0.17755,0.22581,0.03298,0.03461,0.08626,0.11548,0.05305,0.07448,0.13301,0.03304,1
2000,0.03368,0.17588,0.22332,0.03267,0.0358,0.08527,0.12009,0.05281,0.07307,0.13478,0.03263,1
2001,0.03324,0.17423,0.21874,0.03251,0.03697,0.08346,0.12922,0.05431,0.07116,0.13313,0.03302,1
2002,0.0328,0.17011,0.21495,0.03248,0.03768,0.08044,0.14047,0.05438,0.069,0.13475,0.03295,1
2003,0.03223,0.16402,0.21069,0.03191,0.03879,0.0785,0.15463,0.05641,0.06713,0.13269,0.03301,1
2004,0.03162,0.15911,0.20751,0.03119,0.03996,0.0791,0.15907,0.05762,0.06531,0.13658,0.03294,1
2005,0.03086,0.15463,0.20427,0.03065,0.04083,0.07926,0.1648,0.06007,0.06355,0.13799,0.03311,1
2006,0.03018,0.1514,0.19938,0.02995,0.04215,0.07956,0.17084,0.06269,0.0616,0.13888,0.03339,1
2007,0.02967,0.14889,0.19509,0.02958,0.04394,0.08025,0.17154,0.06573,0.06039,0.14099,0.03393,1
2008,0.02897,0.14519,0.18992,0.029,0.0449,0.08101,0.17838,0.06838,0.05815,0.14137,0.03474,1
