ce,12.w.europe,uk,usa,china,india,japan,world.total
1,18600,800,680,59600,75000,3000,225820

1000,19700,2000,1300,59000,75000,7500,267330

1500,48192,3942,2000,103000,110000,15400,438428

1600,62580,6170,1500,160000,135000,18500,556148

1700,68796,8565,1000,138000,165000,27000,603490

1820,114559,21239,9980.5102,381000,209000.0133,31000,1041707.97
1821,115725,21551,10298.96896,383711.4943,209842.2323,31032.82435,
1822,116887,21832,10625.50319,386442.2857,210687.8453,31065.68346,
1823,118055,22117,10951.07727,389192.5115,211536.8659,31098.57737,
1824,119224,22407,11276.69459,391962.3101,212389.3079,31131.5061,
1825,120402,22698,11602.35466,394751.8208,213245.185,31164.4697
1826,121513,22996,11928.05696,397561.1838,214104.511,31197.4682
1827,122578,23275,12250.90491,400390.5404,214967.3,31230.50165
1828,123628,23560,12580.59022,403240.0329,215833.5657,31263.57007
1829,124650,23847,12906.41631,406109.8047,216703.3223,31296.6735
1830,125655,24139,13240.3139,409000,217576.5839,31329.81199
1831,126590,24433,13658.58029,409299.0144,218453.3644,31362.98556
1832,127499,24684,14077.88991,409598.2473,219333.6782,31396.19426
1833,128413,24937,14496.23451,409897.699,220217.5394,31429.43813
1834,129365,25194,14914.61754,410197.3697,221104.9623,31462.71719
1835,130375,25452,15334.04243,410497.2594,221995.9614,31496.0315
1836,131403,25715,15752.50096,410797.3684,222890.5509,31529.38107
1837,132470,25968,16170.99658,411097.6968,223788.7455,31562.76596
1838,133542,26223,16590.53276,411398.2448,224690.5595,31596.1862
1839,134653,26483,17009.10128,411699.0124,225596.0076,31629.64183
1840,135774,26745,17443.768,412000,226505.1045,31663.13288
1841,136872,27004,18056.09997,412000,227417.8648,31696.65939
1842,137956,27277,18667.46445,412000,228334.3033,31730.2214
1843,138973,27511,19278.8649,412000,229254.4348,31763.81895
1844,140069,27785,19890.3009,412000,230178.2743,31797.45207
1845,141186,28040,20502.77591,412000,231105.8365,31831.12081
1846,142200,28272,21114.28172,412000,232037.1367,31864.8252
1847,142645,28118,21725.82182,412000,232972.1897,31898.56527
1848,142701,27683,22337.3958,412000,233911.0108,31932.34107
1849,143066,27429,22950.00716,412000,234853.6151,31966.15264
1850,143594,27181,23579.7179,412000,235800.0179,32000
1851,144151,26945,24405.30273,408358.5278,236631.5614,32117.6488
1852,144978,27076,25230.91797,404749.2409,237466.0374,32235.73015
1853,145726,27248,26156.95325,401171.8547,238303.4562,32354.24562
1854,146498,27446,26882.23823,397626.0873,239143.8281,32473.19682
1855,147278,27697,27707.94257,394111.6593,239987.1635,32592.58534
1856,148086,27978,28534.67982,390628.2937,240833.473,32712.4128
1857,148956,28186,29360.44186,387175.7158,241682.7669,32832.68081,
1858,149886,28422,30186.23226,383753.6537,242535.0559,32953.39099,
1859,150895,28660,31012.05068,380361.8375,243390.3504,33074.54496,
1860,151975,28888,31838.9007,377000,244248.6611,33196.14435,
1861,153076,29128,32677.74246,375055.4821,245109.9987,33318.19081,
1862,154214,29401,33515.60932,373120.9938,245974.3737,33440.68598,
1863,155443,29630,34354.50874,371196.4834,246841.7969,33563.6315,
1864,156648,29842,35192.43258,369281.8993,247712.2791,33687.02904,
1865,157835,30089,36031.38829,367377.1904,248585.831,33810.88025,
1866,158778,30315,36869.36774,365482.3057,249462.4634,33935.1868,
1867,159753,30572,37708.3784,363597.1946,250342.1873,34059.95037,
1868,160477,30845,38546.41214,361721.8067,251225.0135,34185.17263,
1869,161854,31127,39385.47645,359856.0918,252110.953,34310.85528,
1870,162381,31400,40240.6295,358000,253000.0168,34437,1275732.068
1871,162570,31685,41098,358988,253417,34648,
1872,163337,31874,42136,359978,253834,34859,
1873,164541,32177,43174,360971,254253,35070
1874,165857,32501,44212,361967,254672,35235
1875,167195,32839,45245,362966,255091,35436
1876,168800,33200,46287,363967,255512,35713
1877,170416,33576,47325,364971,255933,36018
1878,171840,33932,48362,365978,256354,36315
1879,173423,34304,49400,366988,256777,36557
1880,174685,34623,50458,368000,257200,36807
1881,175814,34935,51743,369183,259359,37112
1882,176963,35206,53027,370369,261536,37414
1883,178085,35450,54311,371560,263732,37766
1884,179412,35724,55595,372754,265946,38138
1885,180679,36015,56879,373952,268179,38427
1886,181992,36313,58164,375154,270430,38622
1887,183244,36598,59448,376359,272700,38866
1888,184524,36881,60732,377569,274990,39251
1889,185909,37178,62016,378783,277298,39688,
1890,187219,37485,63302,380000,279626,40077,
1891,188478,37802,64612,381979,280110,40380,
1892,189829,38134,65922,383969,280594,40684,
1893,191145,38490,67231,385969,281079,41001,
1894,192727,38859,68541,387979,281565,41350,
1895,194266,39221,69851,390000,282052,41775,
1896,196011,39599,71161,391980,282540,42196,
1897,197942,39987,72471,393970,283029,42643,
1898,199877,40381,73781,395970,283518,43145,
1899,201746,40773,75091,397980,284009,43626,
1900,203501,41155,76391,400000,284500,44103,1563463.986
1901,205339,41538,77888,402243,286200,44662,
1902,207338,41893,79469,404498,288000,45255,
1903,209266,42246,80946,406766,289700,45841,
1904,211201,42611,82485,409047,291500,46378,
